"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"06/12/2020","42","Ozone","West Johnston Co.","37-101-0002","AQS","2","42","10","35","6"
"06/13/2020","42","Ozone","West Johnston Co.","37-101-0002","AQS","3","42","10","38","4"
"06/14/2020","44","Ozone","West Johnston Co.","37-101-0002","AQS","2","44","9","24","2"
"06/15/2020","34","Ozone","Millbrook School","37-183-0014","AQS","2","34","5","11","2"
"06/16/2020","28","Ozone","Millbrook School","37-183-0014","AQS","2","28","3","12","2"
"06/17/2020","31","Ozone","West Johnston Co.","37-101-0002","AQS","3","31","3","11","9"
"06/18/2020","37","Ozone","West Johnston Co.","37-101-0002","AQS","3","37","11","28","."
"06/19/2020","38","Ozone","West Johnston Co.","37-101-0002","AQS","3","38","10","25","."
"06/20/2020","39","Ozone","Millbrook School","37-183-0014","AQS","3","39","10","27","."
"06/21/2020","51","PM2.5","Millbrook School","37-183-0014","AQS","3","44","16","51","."
"06/22/2020","54","PM2.5","Millbrook School","37-183-0014","AQS","5","45","19","54","."
"06/23/2020","42","PM2.5","Millbrook School","37-183-0014","AQS","3","31","15","42","."
"06/24/2020","49","Ozone","West Johnston Co.","37-101-0002","AQS","3","49","12","29","."
"06/25/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","3","29","27","53","11"
"06/26/2020","58","Ozone","West Johnston Co.","37-101-0002","AQS","3","58","17","39","13"
"06/27/2020","64","PM2.5","Millbrook School","37-183-0014","AQS","5","47","39","64","13"
"06/28/2020","101","PM2.5","Millbrook School","37-183-0014","AQS","3","34","69","101","5"
"06/29/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","3","38","25","52","7"
"06/30/2020","52","PM2.5","Millbrook School","37-183-0014","AQS","5","44","22","52","13"
"07/01/2020","47","Ozone","Millbrook School","37-183-0014","AQS","5","47","17","46","12"
"07/02/2020","44","Ozone","West Johnston Co.","37-101-0002","AQS","2","44","14","34","13"
"07/03/2020","53","PM2.5","Millbrook School","37-183-0014","AQS","3","45","18","53","22"
"07/04/2020","75","PM2.5","Millbrook School","37-183-0014","AQS","5","46","28","75","10"
"07/05/2020","66","PM2.5","Triple Oak","37-183-0021","AQS","3","36","22","66","5"
"07/06/2020","55","PM2.5","Millbrook School","37-183-0014","AQS","3","36","19","55","9"
"07/07/2020","42","PM2.5","West Johnston Co.","37-101-0002","AQS","3","29","18","42","11"
"07/08/2020","27","PM2.5","Millbrook School","37-183-0014","AQS","2","25","13","27","7"
"07/09/2020","26","Ozone","West Johnston Co.","37-101-0002","AQS","2","26","12","23","7"
"07/10/2020","36","Ozone","Millbrook School","37-183-0014","AQS","3","36","12","28","10"
"07/11/2020","48","Ozone","West Johnston Co.","37-101-0002","AQS","3","48","12","30","9"
