"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"04/17/2020","58","Ozone","Fairview","47-187-0106","AQS","3","58",".","52","35"
"04/18/2020","49","PM2.5","Hendersonville","47-165-0007","AQS","3","44",".","49","28"
"04/19/2020","45","PM2.5","Near Road Site","47-037-0040","AQS","5","35",".","45","17"
"04/20/2020","46","Ozone","Fairview","47-187-0106","AQS","3","46",".","35","31"
"04/21/2020","44","Ozone","Fairview","47-187-0106","AQS","3","44",".","32","36"
"04/22/2020","43","Ozone","Fairview","47-187-0106","AQS","5","43",".","40","34"
"04/23/2020","39","Ozone","Fairview","47-187-0106","AQS","3","39",".","28","20"
"04/24/2020","43","Ozone","Fairview","47-187-0106","AQS","3","43",".","25","26"
"04/25/2020","38","Ozone","Fairview","47-187-0106","AQS","5","38",".","29","20"
"04/26/2020","38","Ozone","Fairview","47-187-0106","AQS","2","38",".","17","29"
"04/27/2020","45","Ozone","Fairview","47-187-0106","AQS","6","45",".","30","34"
"04/28/2020","46","Ozone","Hendersonville","47-165-0007","AQS","3","46",".","38","33"
"04/29/2020","44","Ozone","Fairview","47-187-0106","AQS","2","44",".","24","17"
"04/30/2020","46","Ozone","Fairview","47-187-0106","AQS","2","46",".","16","17"
"05/01/2020","61","Ozone","Hendersonville","47-165-0007","AQS","7","61",".","41","48"
"05/02/2020","50","Ozone","Fairview","47-187-0106","AQS","8","50",".","48","29"
"05/03/2020","43","Ozone","Hendersonville","47-165-0007","AQS","3","43",".","37","8"
"05/04/2020","43","Ozone","Hendersonville","47-165-0007","AQS","3","43",".","25","4"
"05/05/2020","37","Ozone","Fairview","47-187-0106","AQS","5","37",".","30","28"
"05/06/2020","41","Ozone","Hendersonville","47-165-0007","AQS","5","41",".","30","30"
"05/07/2020","47","Ozone","Fairview","47-187-0106","AQS","3","47",".","32","34"
"05/08/2020","41","Ozone","Fairview","47-187-0106","AQS","3","41",".","25","23"
"05/09/2020","44","Ozone","Hendersonville","47-165-0007","AQS","3","44",".","30","32"
"05/10/2020","48","PM2.5","Near Road Site","47-037-0040","AQS","8","46",".","48","24"
"05/11/2020","44","Ozone","Fairview","47-187-0106","AQS","2","44",".","20","28"
"05/12/2020","44","Ozone","Hendersonville","47-165-0007","AQS","2","44",".","35","25"
"05/13/2020","48","PM2.5","Near Road Site","47-037-0040","AQS","5","40",".","48","30"
"05/14/2020","52","PM2.5","Near Road Site","47-037-0040","AQS","6","49",".","52","24"
"05/15/2020","46","PM2.5","Near Road Site","47-037-0040","AQS","5","44",".","46","30"
"05/16/2020","48","PM2.5","Hendersonville","47-165-0007","AQS","5","44",".","48","30"
"05/17/2020","40","PM2.5","Near Road Site","47-037-0040","AQS","6","36",".","40","16"
"05/18/2020","37","Ozone","Fairview","47-187-0106","AQS","3","37",".","23","18"
"05/19/2020","30","Ozone","Fairview","47-187-0106","AQS","2","30",".","20","19"
"05/20/2020","31","Ozone","Fairview","47-187-0106","AQS","2","31",".","20","15"
"05/21/2020","35","Ozone","Fairview","47-187-0106","AQS","2","35",".","22","11"
"05/22/2020","34","Ozone","Hendersonville","47-165-0007","AQS","3","34",".","20","18"
"05/23/2020","36","PM2.5","Near Road Site","47-037-0040","AQS","3","31",".","36","18"
"05/24/2020","42","Ozone","Hendersonville","47-165-0007","AQS","3","42",".","30","17"
"05/25/2020","41","PM2.5","Near Road Site","47-037-0040","AQS","5","38",".","41","16"
"05/26/2020","43","PM2.5","Near Road Site","47-037-0040","AQS","5","35",".","43","24"
"05/27/2020","28","PM2.5","Near Road Site","47-037-0040","AQS","5","26",".","28","15"
"05/28/2020","40","Ozone","Hendersonville","47-165-0007","AQS","3","40",".","22","24"
"05/29/2020","40","Ozone","Hendersonville","47-165-0007","AQS","3","40",".","29","21"
"05/30/2020","45","Ozone","Cedars of Lebanon","47-189-0103","AQS","2","45",".","27","23"
"05/31/2020","44","Ozone","Fairview","47-187-0106","AQS","1","44",".","22","6"
"06/01/2020","47","Ozone","Percy Priest Dam","47-037-0026","AQS","2","47",".","30","31"
"06/02/2020","56","PM2.5","Near Road Site","47-037-0040","AQS","5","47",".","56","25"
"06/03/2020","59","PM2.5","Near Road Site","47-037-0040","AQS","5","45",".","59","27"
"06/04/2020","49","PM2.5","Near Road Site","47-037-0040","AQS","3","38",".","49","16"
"06/05/2020","44","PM2.5","Near Road Site","47-037-0040","AQS","3","44",".","44","25"
"06/06/2020","54","Ozone","East Health Center","47-037-0011","AQS","6","54",".","45","22"
"06/07/2020","67","Ozone","Hendersonville","47-165-0007","AQS","5","67",".","49","13"
"06/08/2020","34","PM2.5","Near Road Site","47-037-0040","AQS","2","34",".","34","13"
"06/09/2020","42","PM2.5","Near Road Site","47-037-0040","AQS","2","24",".","42","8"
"06/10/2020","44","Ozone","Hendersonville","47-165-0007","AQS","2","44",".","38","14"
"06/11/2020","46","Ozone","Hendersonville","47-165-0007","AQS","1","46",".","30","16"
"06/12/2020","51","Ozone","Hendersonville","47-165-0007","AQS","3","51",".","31","26"
"06/13/2020","80","Ozone","Hendersonville","47-165-0007","AQS","5","80",".","40","37"
"06/14/2020","51","Ozone","Fairview","47-187-0106","AQS","7","51",".","42","27"
"06/15/2020","50","Ozone","Fairview","47-187-0106","AQS","1","50",".","44","8"
"06/16/2020","46","Ozone","Fairview","47-187-0106","AQS","1","46",".","40","8"
"06/17/2020","44","Ozone","Fairview","47-187-0106","AQS","2","44",".","27","27"
"06/18/2020","77","Ozone","East Health Center","47-037-0011","AQS","2","77",".","42","43"
"06/19/2020","77","Ozone","Percy Priest Dam","47-037-0026","AQS","5","77",".","55","36"
"06/20/2020","58","Ozone","Percy Priest Dam","47-037-0026","AQS","6","58",".","51","33"
"06/21/2020","46","PM2.5","Near Road Site","47-037-0040","AQS","8","33",".","46","28"
"06/22/2020","41","Ozone","Hendersonville","47-165-0007","AQS","3","41",".","17","19"
