"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"09/17/2020","15","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","15","6","14","5"
"09/18/2020","25","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","25","7","18","4"
"09/19/2020","35","PM2.5","PARKLANE","45-079-0007","AQS","1","25","12","35","1"
"09/20/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","31","9","18","1"
"09/21/2020","31","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","31",".","19","1"
"09/22/2020","33","Ozone","PARKLANE","45-079-0007","AQS","0","33",".","23","9"
"09/23/2020","46","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","46","15","38","14"
"09/24/2020","48","PM2.5","IRMO","45-063-0008","AQS","1","40","24","48","9"
"09/25/2020","32","PM2.5","IRMO","45-063-0008","AQS","0","25","10","32","3"
"09/26/2020","19","PM2.5","IRMO","45-063-0008","AQS","0","19","6","19","3"
"09/27/2020","30","PM2.5","IRMO","45-063-0008","AQS","1","23","12","30","5"
"09/28/2020","27","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","2","27","9","26","6"
"09/29/2020","24","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","24","6","20","5"
"09/30/2020","30","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","30","10","26","20"
"10/01/2020","44","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","44","15","33","16"
"10/02/2020","38","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","38","13","27","4"
"10/03/2020","33","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","33","10","27","2"
"10/04/2020","30","PM2.5","IRMO","45-063-0008","AQS","1","29","9","30","2"
"10/05/2020","42","PM2.5","IRMO","45-063-0008","AQS","2","36","17","42","."
"10/06/2020","39","PM2.5","PARKLANE","45-079-0007","AQS","1","37","18","39","."
"10/07/2020","49","PM2.5","IRMO","45-063-0008","AQS","1","40","15","49","."
"10/08/2020","56","PM2.5","IRMO","45-063-0008","AQS","2","47","26","56","."
"10/09/2020","63","PM2.5","IRMO","45-063-0008","AQS","5","30","29","63","."
"10/10/2020","38","PM2.5","IRMO","45-063-0008","AQS","0","35","16","38","3"
"10/11/2020","21","Ozone","PARKLANE","45-079-0007","AQS","0","21","9","20","4"
"10/12/2020","23","PM2.5","PARKLANE","45-079-0007","AQS","0","17","9","23","7"
"10/13/2020","37","PM2.5","PARKLANE","45-079-0007","AQS","1","24","15","37","17"
"10/14/2020","38","Ozone","PARKLANE","45-079-0007","AQS","2","38","10","23","7"
"10/15/2020","38","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","2","38","19","35","5"
"10/16/2020","39","PM2.5","IRMO","45-063-0008","AQS","0","31","11","39","8"
"10/17/2020","33","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","0","33","6","30","3"
"10/18/2020","33","Ozone","SANDHILL EXPERIMENTAL STATION","45-079-1001","AQS","1","33","11","29","2"
"10/19/2020","38","PM2.5","IRMO","45-063-0008","AQS","1","38","15","38","."
"10/20/2020","43","PM2.5","IRMO","45-063-0008","AQS","1","31","16","43","4"
"10/21/2020","30","PM2.5","IRMO","45-063-0008","AQS",".","27","14","30","6"
